PROD_EST,COBERTURA,ANIO,ID_MES,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	01,258855,6296802,78900,11797,106727,2867778,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	02,260130,6327813,79141,11833,107673,2893193,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	03,261408,6358897,79382,11869,108625,2918787,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	04,262689,6390062,79624,11906,109585,2944568,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	05,263974,6421311,79868,11942,110552,2970546,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	06,265262,6452642,80112,11979,111525,2996711,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	07,266553,6484064,80358,12015,112507,3023079,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	08,267848,6515555,80604,12052,113496,3049648,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	09,269145,6547098,80850,12089,114488,3076320,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	10,270445,6578729,81097,12126,115485,3103107,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	11,271749,6610449,81345,12163,116489,3130093,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1991,	12,273088,6643020,81593,12200,117523,3157866,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	01,268380,6683880,80153,13505,120132,3171184,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	02,269783,6718810,80036,13486,120717,3186624,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	03,271193,6753943,79919,13466,121306,3202176,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	04,272612,6789269,79801,13446,121899,3217827,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	05,274037,6824767,79682,13426,122495,3233582,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	06,275470,6860448,79563,13406,123097,3249451,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	07,276910,6896321,79443,13386,123702,3265432,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	08,278357,6932353,79322,13366,124311,3281498,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	09,279810,6968538,79201,13345,124923,3297659,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	10,281270,7004903,79078,13325,125538,3313902,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	11,282738,7041457,78955,13304,126157,3330246,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1992,	12,284263,7079438,78845,13285,126781,3346713,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	01,269146,7121220,74043,17478,90609,3390798,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	02,270123,7147050,73549,17361,90816,3398546,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	03,271105,7173054,73051,17244,91024,3406340,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	04,272091,7199140,72553,17126,91233,3414165,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	05,273080,7225300,72053,17008,91443,3422028,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	06,274072,7251544,71550,16890,91654,3429921,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	07,275065,7277827,71047,16771,91866,3437839,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	08,276061,7304185,70543,16652,92078,3445780,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	09,277060,7330605,70038,16533,92291,3453748,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	10,278061,7357089,69532,16413,92505,3461744,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	11,279066,7383671,69023,16293,92719,3469765,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1993,	12,280113,7411382,68585,16190,92930,3477667,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	01,316816,7333804,57525,29582,85069,3486801,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	02,315118,7294486,59071,30376,85100,3488047,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	03,313414,7255044,60617,31171,85128,3489195,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	04,311705,7215482,62163,31967,85158,3490446,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	05,309992,7175822,63711,32763,85189,3491698,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	06,308273,7136041,65261,33559,85219,3492956,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	07,306553,7096216,66828,34366,85250,3494216,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	08,304827,7056258,68399,35173,85282,3495498,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	09,303095,7016176,69970,35981,85313,3496785,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	10,301359,6975986,71541,36789,85344,3498077,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	11,299618,6935694,73113,37597,85376,3499372,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1994,	12,297939,6896821,74885,38509,85406,3500599,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1995,	01,256589,6959015,74541,39376,73985,3510826,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1995,	02,257333,6979183,74884,39558,73960,3509658,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1995,	03,258079,6999416,75230,39740,73935,3508490,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1995,	04,258827,7019715,75576,39924,73911,3507321,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1995,	05,259578,7040079,75925,40108,73886,3506154,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1995,	06,260331,7060509,76275,40293,73861,3504987,Cifras Definitivas
Vehículos de motor registrados en circulación. Vehículos de motor,Nacional,1995,	07,261087,7081005,76627,40478,73837,3503819,Cifras Definitivas
